IRI	skos:prefLabel	skos:definition	dc:source	skos:example	rdfs:comment	altLabel	Parent
semapv:DigitSuppression	digit suppression	A normalization technique removing all numbers in a string. 	https://doi.org/10.1007/978-3-642-38721-0	The string 'ontology1' becomes 'ontology'.			semapv:Normalization
semapv:PunctuationElemination	punctuation elimination	A normalization technique removing all punctation characters from a string.	https://doi.org/10.1007/978-3-642-38721-0	The string 'e.g.' becomes 'eg'.			semapv:Normalization
semapv:SimilarityMeasure	similarity measure	A technique for determining a score that characterises the similarity between two entities.	https://doi.org/10.1007/978-3-642-38721-0				
semapv:StringBasedSimilarityMeasure	string-based similarity measure	A similarity measure based on the comparison of strings.	https://doi.org/10.1007/978-3-642-38721-0				semapv:SimilarityMeasure
semapv:StringEquality	string equality	A string-based similarity measure which involves determining if two strings associated with mapping entities are equal.	https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:HammingDistance	hamming distance		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:SubstringTest	substring test		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:SubstringSimilarity	substring similarity		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:nGramSimilarity	ngram similarity		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:EditDistance	edit distance		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:LevenshteinEditDistance	levenshtein distance		https://doi.org/10.1007/978-3-642-38721-0				semapv:EditDistance
semapv:TokenBasedDistance	token-based distance		https://doi.org/10.1007/978-3-642-38721-0				semapv:StringBasedSimilarityMeasure
semapv:LanguageBasedSimilarityMeasure	language-based similarity measure		https://doi.org/10.1007/978-3-642-38721-0				semapv:SimilarityMeasure
semapv:Tokenization	tokenization		https://doi.org/10.1007/978-3-642-38721-0				semapv:Normalization
semapv:TermExtraction	term extraction		https://doi.org/10.1007/978-3-642-38721-0			named entity recognition	semapv:Normalization
semapv:BoundedPathMatching	bounded path matching	A structural matching process based on the comparison of matched super- and subclasses (paths) of two entities.					semapv:StructuralMatching
semapv:MachineLearningBasedMatching	machine learning-based matching process	A matching process in which matches between entities are predicted by machine learning models trained on labelled data or learned representations.		Matches between entities are produced by applying a trained model to features derived from entity descriptions or their surrounding context.		ML-based matching	semapv:Matching
semapv:EmbeddingBasedMatching	embedding-based matching process	A machine learning-based matching process in which matches are identified by comparing learned vector representations (embeddings) of entities.		Matches between entities are identified by comparing their embedded representations under a vector similarity measure such as cosine similarity.		embedding similarity-based matching	semapv:MachineLearningBasedMatching
semapv:TransformerBasedMatching	transformer-based matching process	An embedding-based matching process that uses transformer models to produce contextual vector representations of entity features for similarity comparison.		Matches between entities are established by comparing contextual representations of entity features produced by a transformer model.	Transformer models are a deep learning architecture designed to handle sequential data, particularly for natural language processing tasks.		semapv:EmbeddingBasedMatching
semapv:GraphRepresentationLearningBasedMatching	graph representation learning-based matching process	An embedding-based matching process in which matches are identified by comparing learned vector representations that encode the structural and semantic features of entities and their surrounding graph context.		Matches between entities are identified by analyzing learned representations that encode the structural features and relationships within graph data.		graph embedding-based matching	semapv:EmbeddingBasedMatching
semapv:LLMBasedMatching	LLM-based matching process	A machine learning-based matching process in which a large language model determines matches between entities, typically through single-step or few-shot prompting, or through fine-tuning the model to judge mapping candidates or generate mappings directly.		An LLM is prompted to decide whether a subject entity and an object entity refer to the same concept, and its judgement is used to accept or reject the mapping.	Where an LLM is used only to produce embeddings that are then compared by similarity, the process is an embedding-based (transformer-based) matching process rather than an LLM-based one. The classifier is how the model is used, not which model. Multi-step, tool-using, autonomous workflows driven by an LLM are captured by semapv:AgentBasedMatching.	large language model-based matching	semapv:MachineLearningBasedMatching
semapv:AgentBasedMatching	agent-based matching process	A matching process in which an autonomous agent plans and executes a multi-step workflow — typically involving tool use, retrieval, intermediate reasoning, and self-evaluation — to determine matches between entities. The agent decides at runtime what information to gather, which techniques to apply, and when to stop.		An agent is given a pair of candidate entities and autonomously decides to look up their labels, query an external knowledge base, retrieve definitions, compare them with a similarity measure, and revise its judgement before producing a final match decision.	Distinguished from single-step LLM-based matching by the agent's autonomy over its own process. Distinguished from composite matching, which combines heterogeneous matching techniques under a fixed pipeline, by the agent's runtime control over what to do next. In current practice, agent-based matchers are predominantly driven by large language models, but this class does not commit to a particular agent technology — a specific process may also be classified as semapv:LLMBasedMatching (or any other matching class) where appropriate.	agentic matching|agentic ontology matching	semapv:Matching
